"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"One Hour Photo",6.653,"2002-08-21",52223306,12000000,"en","Sy """"the photo guy"""" Parrish has lovingly developed photos for the Yorkin family since their son was a baby. But as the Yorkins' lives become fuller, Sy's only seems lonelier, until he eventually believes he's part of their family. When """"Uncle"""" Sy's picture-perfect fantasy collides with an ugly dose of reality, what happens next """"has the spine-tingling elements of the best psychological thrillers!""""","Drama, Thriller"
"S1m0ne",5.9,"2002-08-23",19576023,10000000,"en","The career of a disillusioned producer, who is desperate for a hit, is endangered when his star walks off the film set. Forced to think fast, the producer decides to digitally create an actress """"Simone"""" to sub for the star — the first totally believable synthetic actress.","Science Fiction, Comedy, Drama, Fantasy, Romance"
"Serving Sara",5.334,"2002-08-23",16930185,29000000,"en","When Sara is served divorce papers while she is in New York, she is stunned. Not about to lose the fortune she amassed with her self-serving Texan husband, she makes an offer to her process server, Joe, that sets them off on a wild trip across the country.","Comedy"
"Frida",7.4,"2002-08-29",56298474,12000000,"en","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.","Drama, Romance"
"City of God",8.432,"2002-08-30",30641770,3300000,"pt","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Drama, Crime"
"Ripley's Game",6.331,"2002-09-02",6200000,30000000,"en","Tom Ripley - cool, urbane, wealthy, and murderous - lives in a villa in the Veneto with Luisa, his harpsichord-playing girlfriend. A former business associate from Berlin's underworld pays a call asking Ripley's help in killing a rival. Ripley - ever a student of human nature - initiates a game to turn a mild and innocent local picture framer into a hit man. The artisan, Jonathan Trevanny, who's dying of cancer, has a wife, young son, and little to leave them. If Ripley draws Jonathan into the game, can Ripley maintain control? Does it stop at one killing? What if Ripley develops a conscience?","Crime, Thriller"
"City by the Sea",5.7,"2002-09-06",22433915,40000000,"en","Vincent LaMarca is a dedicated and well-respected New York City police detective who has gone to great lengths to distance himself from his past, but then makes the terrible discovery that his own son has fallen into a life of crime.","Crime, Drama, Mystery"
"Swimfan",5.316,"2002-09-06",34411240,8500000,"en","Ben Cronin has it all: the admiration of his many friends, a terrific girlfriend, and he's on the fast-track to an athletic scholarship. Ben's rock-solid, promising future and romance are turned upside-down with the arrival of Madison Bell. Madison, the new girl in town, quickly sets her sights on the impressionable Ben. While their first few meetings are innocent enough, the obsessive and seductive Madison wants more ... much more.","Thriller, Mystery"
"The Four Feathers",6.6,"2002-09-08",29882645,35000000,"en","A young British officer resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers as symbols of what they view as his cowardice. To redeem his honor, he disguises himself as an Arab and secretly saves their lives.","Action, Adventure, Drama, Romance, War"
"City of Ghosts",5.8,"2002-09-10",1277187,17500000,"en","A con man  who is on the run from law enforcement in the U.S. travels to Cambodia to collect his share in an insurance scam but discovers more than he bargained for.","Thriller"
"Igby Goes Down",6.6,"2002-09-13",4777465,9000000,"en","Igby Slocumb, a rebellious and sarcastic 17-year-old boy, is at war with the stifling world of old money privilege he was born into. With a schizophrenic father, a self-absorbed, distant mother, and a shark-like young Republican big brother, Igby figures there must be a better life out there -- and sets about finding it.","Comedy, Drama"
"Stealing Harvard",4.762,"2002-09-13",14277032,25000000,"en","John and his girlfriend have vowed to marry once they save $30,000 for their dream house. But the minute they achieve their financial goal, John finds out his niece has been accepted at Harvard, and he's reminded of his promise to pay for her tuition (nearly $30,000). John's friend Duff convinces him to turn to petty crime to make the payment … but Duff's hare-brained schemes spin quickly out of control.","Action, Comedy, Drama, Crime"
"The Pianist",8.382,"2002-09-17",192700000,35000000,"en","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","Drama, War"
"Ballistic: Ecks vs. Sever",4.357,"2002-09-20",19924033,70000000,"en","Jonathan Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a """"micro-device"""" that can be injected into victims in order to kill them at will.","Action, Adventure, Thriller"
"Gerry",6.021,"2002-09-20",255000,3500000,"en","Two friends named Gerry become lost in the desert after taking a wrong turn. Their attempts to find their way home only lead them into further trouble.","Drama, Adventure"
"Men with Brooms",5.34,"2002-09-20",4245870,7500000,"en","A decade ago, curler Chris Cutter disappeared suddenly on the verge of stardom, dropping his curling stones to the bottom of a lake and leaving his fiancée, Julie Foley, at the altar. But when his former coach dies, Cutter returns home for the funeral and attempts to fulfill the man's last wishes. The team is reunited under Cutter's estranged dad, Gordon — himself a former curling star — for a final attempt at glory.","Comedy, Romance"
"Secretary",6.8,"2002-09-20",9300000,4000000,"en","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.","Comedy, Drama, Romance"
"The Banger Sisters",5.6,"2002-09-20",38068353,10000000,"en","In the late '60s, the self-proclaimed belles of the rock 'n' roll ball, rocked the worlds of every music legend whose pants they could take off -- and they have the pictures to prove it. But it's been more than two decades since the Banger Sisters earned their nickname -- or even laid eyes on each other. Their reunion is the collision of two women's worlds; one who's living in the past, and one who's hiding from it. Together they learn to live in the moment.","Comedy, Drama"
"Trapped",6.2,"2002-09-20",13414416,30000000,"en","When their daughter is abducted by experienced kidnappers, the Jennings turn the tables on their seemingly fool-proof plan.","Action, Crime, Thriller, Drama"
"Sweet Home Alabama",6.394,"2002-09-26",180622424,30000000,"en","New York fashion designer, Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But her past holds many secrets—including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.","Comedy, Romance"
"Mondays in the Sun",7.223,"2002-09-27",146402,4000000,"es","After the closure of their shipyard in Northern Spain, a few former workers: Santa, José, Lino, Amador, Sergei and Reina keep in touch. They meet mainly at a bar owned by their former colleague Rico. Santa is the most superficially confident and unofficial leader of the group. A court case hangs over him relating to a shipyard lamp he smashed during a protest against the closure. José is bitter that his wife, Ana, is employed when he is not.","Drama, Comedy"
"The Tuxedo",5.707,"2002-09-27",104400000,60000000,"en","Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.","Thriller, Action, Comedy, Science Fiction"
"Boat Trip",5.3,"2002-10-01",8586376,20000000,"en","Two guys whose love lives are a wreck look forward to finding ladies on the high seas. Unfortunately, they've mistakenly been booked on a gay cruise.","Comedy"
"Cypher",6.636,"2002-10-01",898365,7500000,"en","An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.","Thriller, Science Fiction"
"Red Dragon",7.02,"2002-10-02",209196298,78000000,"en","Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer.","Crime, Thriller, Horror"
"The Transporter",6.701,"2002-10-02",43900000,21000000,"en","Former Special Forces officer Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.","Action, Crime, Thriller"
"Brown Sugar",6.6,"2002-10-05",27362712,8000000,"en","Sidney and Dre can attribute their lifelong friendship and the launch of their careers to one single childhood instant... witnessing the birth of hip-hop on a New York street corner. Now some 15 years later, she is a revered music critic at a national magazine and he is a successful, though unfulfilled, hip-hop record company executive. Both come to realize that their true life passions will only be fulfilled by remembering what they learned that day on the corner.","Romance, Comedy"
"Darkness",5.7,"2002-10-11",33988736,10600000,"en","A teenage girl moves into a remote country home with her family, only to discover that the gloomy old house has a horrifying past that threatens to destroy them.","Horror"
"Punch-Drunk Love",7.137,"2002-10-11",24665649,25000000,"en","A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.","Romance, Drama, Comedy"
"Swept Away",4.8,"2002-10-11",598645,10000000,"en","Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.","Comedy, Romance"
"The Rules of Attraction",6.157,"2002-10-11",11832822,4000000,"en","The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.","Drama, Romance, Comedy"
"Tuck Everlasting",6.616,"2002-10-11",19158074,15000000,"en","Teenager Winnie Foster is growing up in a small rural town in 1914 with her loving but overprotective parents, but Winnie longs for a life of greater freedom and adventure.","Drama, Family, Fantasy, Romance"
"Auto Focus",6.419,"2002-10-18",2062066,7000000,"en","A successful TV star during the 1960s, former """"Hogan's Heroes"""" actor Bob Crane projects a wholesome family-man image, but this front masks his persona as a sex addict who records and photographs his many encounters with women, often with the help of his seedy friend, John Henry Carpenter. This biographical drama reveals how Crane's double life takes its toll on him and his family, and ultimately contributes to his death.","Crime, Drama"
"Ju-on: The Grudge",6.691,"2002-10-18",3657876,3500000,"ja","Volunteer home-care worker Rika is assigned to visit a family, she is cursed and chased by two revengeful fiends: Kayako, a woman brutally murdered by her husband and her son Toshio. Each person that lives in or visits the haunted house is murdered or disappears.","Horror"
"Real Women Have Curves",6.074,"2002-10-18",7700000,3000000,"en","Freshly graduated from high school, Ana receives a full scholarship to Columbia University. Her very traditional, old-world parents feel that now is the time for Ana to help provide for the family, not the time for college.","Comedy, Drama"
"The Ring",6.664,"2002-10-18",249348933,48000000,"en","Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.","Horror, Mystery"
"Ghost Ship",5.945,"2002-10-25",71142361,35000000,"en","After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.","Horror, Mystery, Thriller"
"Buffalo Soldiers",6.3,"2002-10-31",2300805,15000000,"en","A criminal subculture operates among U.S. soldiers stationed in West Germany just before the fall of the Berlin wall.","Drama, Comedy, War, Crime, Thriller"
"I Spy",5.397,"2002-10-31",51386477,70000000,"en","When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.","Action, Adventure, Comedy, Thriller"
"The Santa Clause 2",5.938,"2002-10-31",172842355,65000000,"en","Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.","Fantasy, Comedy, Family"
"They",5.035,"2002-11-01",12840842,17000000,"en","A psychology student who experienced night terrors as a child must face the chilling realization that her nightmares were not all in her head.","Horror, Thriller"
"Godzilla Against MechaGodzilla",7.3,"2002-11-02",16000000,8500000,"ja","JSDF pilot Akane has a fateful encounter when a new Godzilla emerges in Tateyama. As a countermeasure, a cyborg named Kiryu is constructed from the remains of the original. The machine is discovered to harbor the restless soul of the original monster as Akane must learn to find value in her own life as well.","Action, Science Fiction"
"Demonlover",5.6,"2002-11-06",231800,7900000,"fr","A French corporation goes head-to-head with an American web media company for the rights to a 3-D manga pornography studio, resulting in a power struggle that culminates in violence and espionage.","Drama, Mystery, Thriller"
"Far from Heaven",7.034,"2002-11-08",29027914,13500000,"en","In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society.","Drama, Romance"
"Harry Potter and the Chamber of Secrets",7.7,"2002-11-13",876688482,100000000,"en","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.","Adventure, Fantasy"
"Half Past Dead",5.178,"2002-11-15",19233280,25000000,"en","A man goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there, he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.","Crime, Action, Thriller"
"Die Another Day",5.982,"2002-11-17",431971116,140000000,"en","James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.","Adventure, Action, Thriller"
"Friday After Next",6.287,"2002-11-22",33500000,20000000,"en","Craig and his cousin Day Day have finally moved out of their parents' houses and into their own crib, working nights at a local mall as security guards. When their house is robbed on Christmas Eve they set out to track down the culprit.","Comedy"
"The Quiet American",6.46,"2002-11-22",27674124,30000000,"en","In early 1950s Vietnam, a young American becomes entangled in a dangerous love triangle when he falls for the beautiful mistress of a British journalist. As war is waged around them, the trio sinks deeper into a world of drugs, passion, and betrayal where nothing is as it seems.","Romance, Thriller, Drama, War"
"Extreme Ops",4.8,"2002-11-27",10959475,40000000,"en","While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.","Action, Adventure, Thriller"
"Solaris",5.899,"2002-11-27",30002758,47000000,"en","A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.","Drama, Science Fiction, Mystery"
"Undertaking Betty",6.102,"2002-12-04",1868949,8000000,"en","A politician's wife and the mortician who has secretly loved her for years plan to fake her death so they can run away together.","Comedy, Romance"
"Adaptation.",7.374,"2002-12-06",32800000,19000000,"en","Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt """"The Orchid Thief,"""" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'.","Comedy, Crime, Drama"
"Analyze That",5.806,"2002-12-06",55003135,60000000,"en","The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.","Comedy, Crime"
"Empire",5.939,"2002-12-06",18591272,4000000,"en","A big time drug dealer Victor Rosa is looking to get out of the game and sees his chance with a big deal with a new friend who happens to be a Wall St. stockbroker. Thinking this will be his chance to go out on top Victor soon finds out that he has been double crossed and his last option is to get revenge.","Crime, Action, Drama"
"House of Fools",5.738,"2002-12-06",157613,2500000,"ru","The war film that's not a war film. A film about the mental institution which backdrop is the Chechen war. A story about the patients living in an institution during the war on the border of Chechnia and Russia during the war. The patients have to continue living their day to day life after being invaded twice over, and they have to deal with their sicknesses.","Drama, Romance, War"
"Chicago",7.112,"2002-12-10",306776732,45000000,"en","Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.","Comedy, Crime, Drama"
"About Schmidt",6.827,"2002-12-12",105834556,30000000,"en","A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.","Drama, Comedy"
"Maid in Manhattan",6.093,"2002-12-13",154906693,55000000,"en","Marisa Ventura is a struggling single mom who works at a posh Manhattan hotel and dreams of a better life for her and her young son. One fateful day, hotel guest and senatorial candidate Christopher Marshall meets Marisa and mistakes her for a wealthy socialite. After an enchanting evening together, the two fall madly in love. But when Marisa's true identity is revealed, issues of class and social status threaten to separate them. Can two people from very different worlds overcome their differences and live happily ever after?","Comedy, Drama, Romance"
"Star Trek: Nemesis",6.288,"2002-12-13",67312826,60000000,"en","En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.","Science Fiction, Action, Adventure, Thriller"
"Gangs of New York",7.321,"2002-12-14",193800000,100000000,"en","In 1863, Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.","Drama, History, Crime"
"The Lord of the Rings: The Two Towers",8.393,"2002-12-18",926287400,79000000,"en","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","Adventure, Fantasy, Action"
"Antwone Fisher",6.864,"2002-12-19",23400000,12500000,"en","A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.","Drama, History, Romance"
"Two Weeks Notice",6.353,"2002-12-19",199043242,60000000,"en","Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.","Comedy, Romance"
"The Hours",7.298,"2002-12-27",41597830,25000000,"en","""The Hours"" is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition.","Drama"
"Confessions of a Dangerous Mind",6.707,"2002-12-31",33013805,30000000,"en","Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.","Comedy, Crime, Drama"
"Just Married",5.778,"2003-01-08",101564935,18000000,"en","Tom Leezak and Sarah McNerney fall in love and plan to get married, despite opposition from Sarah's uptight, rich family. When they do get married, and get a chance to prove Sarah's family wrong, they go on a European honeymoon and run into disaster after disaster. They have to decide whether the honeymoon from hell and a few pre-marital mistakes are worth throwing away their love and marriage.","Romance, Comedy"
"Runaway Jury",6.943,"2003-01-16",80154140,60000000,"en","A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.","Drama, Thriller"
"A Guy Thing",5.9,"2003-01-17",17400000,20000000,"en","Paul Morse is a good guy. When his friends throw him a wild bachelor party, he just wants to keep his conscience clean -- which is why he's shocked when he wakes up in bed with a beautiful girl named Becky and can't remember the night before. Desperate to keep his fiancée, Karen, from finding out what may or may not be the truth, he tells her a teensy lie. Soon his lies are spiraling out of control and his life is a series of comical misunderstandings.","Comedy, Romance"
"Kangaroo Jack",5.3,"2003-01-17",88900000,60000000,"en","Two childhood friends — a New York hairstylist and a wanna-be musician — get mixed-up with the mob and are forced to deliver $50,000 to Australia, but things go all wrong when the money is lost to a wild kangaroo.","Action, Adventure, Comedy, Family, Crime"
"Ong-Bak",7.097,"2003-01-21",20112926,1100000,"th","When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.","Action, Thriller, Crime, Adventure"
"Whale Rider",7.09,"2003-01-30",41400000,8000000,"en","On the east coast of New Zealand, the Whangara people believe their presence there dates back a thousand years or more to a single ancestor, Paikea, who escaped death when his canoe capsized by riding to shore on the back of a whale. From then on, Whangara chiefs, always the first-born, always male, have been considered Paikea's direct descendants. Pai, an 11-year-old girl in a patriarchal New Zealand tribe, believes she is destined to be the new chief. But her grandfather Koro is bound by tradition to pick a male leader. Pai loves Koro more than anyone in the world, but she must fight him and a thousand years of tradition to fulfill her destiny.","Drama, Family"
"Biker Boyz",6.144,"2003-01-31",23510601,24000000,"en","A mythic motorcycle tale of father and son"""", this is the story of Manuel Galloway, also known as """"the King of Cali"""", the president of a motorcycle club whose members are all African-American men, mostly white-collar workers who exchange their suits and ties at night and on weekends for leather outfits and motorcycle helmets.","Action, Drama"
"Final Destination 2",6.2,"2003-01-31",90900000,26000000,"en","When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.","Horror, Mystery"
"Shanghai Knights",6.138,"2003-02-06",88300000,50000000,"en","The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time, they're in London to avenge the murder of Chon's father, but end up on an even bigger case. Chon's sister is there to do the same, but instead unearths a plot to kill the royal family. No one believes her, though, and it's up to Chon and Roy (who has romance on his mind) to prove her right.","Action, Adventure, Comedy, Western"
"Daredevil",5.259,"2003-02-14",179179718,78000000,"en","A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses.","Fantasy, Action"
"Gods and Generals",6.277,"2003-02-21",12900000,56000000,"en","The film centers mostly around the personal and professional life of Thomas """"Stonewall"""" Jackson, a brilliant if eccentric Confederate general, from the outbreak of the American Civil War until its halfway point.","Drama, History, War"
"The Life of David Gale",7.425,"2003-02-21",38955598,50000000,"en","A man against capital punishment is accused of murdering a fellow activist and is sent to death row.","Drama, Thriller, Crime"
"Cradle 2 the Grave",6.1,"2003-02-28",56500000,25000000,"en","Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.","Action, Crime, Drama"
"Mystic River",7.742,"2003-03-03",156800000,25000000,"en","The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.","Thriller, Crime, Drama, Mystery"
"Bringing Down the House",5.997,"2003-03-07",132700000,20000000,"en","Uptight lawyer Peter Sanderson wants to dive back into dating after his divorce and has a hard time meeting the right women. He tries online dating and lucks out when he starts chatting with a fellow lawyer. The two agree to meet in the flesh, but the woman he meets — an escaped African-American convict named Charlene — is not what he expected. Peter is freaked out, but Charlene tries to convinces him to take her case and prove her innocence. Along the way, she wreaks havoc on his middle-class life as he gets a lesson in learning to lighten up.","Comedy, Drama"
"Tears of the Sun",6.862,"2003-03-07",86500000,75000000,"en","Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.","War, Action, Drama"
"The Hunted",6.19,"2003-03-11",34234008,55000000,"en","In the wilderness of British Columbia, two hunters are tracked and viciously murdered by Aaron Hallum. A former Special Operations instructor is approached and asked to apprehend Hallum—his former student—who has 'gone rogue' after suffering severe battle stress from his time in Kosovo.","Drama, Action, Thriller, Crime"
"Agent Cody Banks",5.481,"2003-03-14",58795814,28000000,"en","Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.","Action, Adventure, Comedy, Family"
"Johnny English",6.27,"2003-03-14",160600000,40000000,"en","A lowly pencil pusher working for MI7, Johnny English is suddenly promoted to super spy after Agent One is assassinated and every other agent is blown up at his funeral. When a billionaire entrepreneur sponsors the exhibition of the Crown Jewels—and the valuable gems disappear on the opening night and on English's watch—the newly-designated agent must jump into action to find the thief and recover the missing gems.","Adventure, Action, Comedy"
"Willard",6.088,"2003-03-14",8564586,22000000,"en","Desperate for companionship, the repressed Willard befriends a group of rats that inhabit his late father's deteriorating mansion. In these furry creatures, Willard finds temporary refuge from daily abuse at the hands of his bedridden mother and his father's old partner, Frank. Soon it becomes clear that the brood of rodents is ready and willing to exact a vicious, deadly revenge on anyone who dares to bully their sensitive new master.","Horror, Drama, Thriller"
"Carandiru",7.577,"2003-03-21",10782155,3684600,"pt","When a doctor decides to carry out an AIDS prevention program inside Latin America’s largest prison: the Casa de Detenção de São Paulo - Carandiru, he meets the future victims of one of the darkest days in Brazilian History when the State of São Paulo’s Military Police, with the excuse for law enforcement, shot to death 111 people. Based on real facts and on the book written by Dráuzio Varella.","Drama"
"Dreamcatcher",5.589,"2003-03-21",75700000,68000000,"en","Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.","Drama, Horror, Science Fiction, Thriller"
"View from the Top",5.5,"2003-03-21",19526014,30000000,"en","No one thought Donna would go very far. But when she sets her sights on becoming a first-class international flight attendant, Donna throws caution to the wind and takes off in pursuit of her dream. The ride is anything but smooth, however, and Donna's laugh-packed journey of a lifetime is rocked by more turbulence than she bargained for.","Comedy, Romance, Drama"
"What a Girl Wants",6.2,"2003-03-27",50700000,20000000,"en","An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.","Comedy, Romance, Drama, Family"
"The Core",5.799,"2003-03-28",74208267,60000000,"en","Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.","Action, Thriller, Adventure, Science Fiction"
"A Man Apart",6.087,"2003-04-04",44350926,36000000,"en","When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.","Action, Drama, Crime"
"Phone Booth",6.85,"2003-04-04",97837138,13000000,"en","A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.","Thriller, Crime"
"Malibu's Most Wanted",5.098,"2003-04-10",34000000,15000000,"en","A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper.","Comedy, Crime"
"Anger Management",6.149,"2003-04-11",195745823,75000000,"en","After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.","Comedy"
"House of 1000 Corpses",6.206,"2003-04-11",17949758,7000000,"en","Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.","Horror, Comedy"
"House of the Dead",3.123,"2003-04-11",13818181,12000000,"en","Set on an island off the coast, a techno rave party attracts a diverse group of college coeds and a Coast Guard officer. Soon, they discover that their X-laced escapades are to be interrupted by zombies and monsters that attack them on the ground, from the air, and in the sea, ruled by an evil entity in the House of the Dead... Prequel to the House of the Dead video games.","Horror, Action, Thriller"
